ID,Treść,Autor,Data
1395844249615273992,"#eurovison #aboutaleb 
Mooie quote: “wij zoeken de kwalitatieve toerist die geinteresseerd is in kwalitatieve kwaliteit”
Uh....dus",bietjevanalles,2021-05-21 20:49:37+00:00
1395816001577570311,"🎶 Songfestival 2021: dit zijn de winnaars volgens Spotify https://t.co/N0eNlhIeiW

#Eurovison #esf #esf21 #songfestival",DroidAppNL,2021-05-21 18:57:22+00:00
1395794135286788098,"Warm up for #EuroVison with... #DollyVison! Holly has got her dolls together to return for another successful show and it's unmissable! 

Her efforts are fundraising for Refuge. To find out more, and for a link to watch the show visit her fundraising page: https://t.co/pvnvSzEna6",RefugeCharity,2021-05-21 17:30:29+00:00
1395791000472326151,"🎉 Eurovision Norway playlist is here *getting ready for the final tomorrow. Watch the winners and not only here: 
https://t.co/FwM8up2cru 

#Eurovison #Norway",visitnorway,2021-05-21 17:18:01+00:00
1395788611950452744,"This feels like a #eurovison contest, but everyone is still in the semifinals fighting for the finale so they can get the big prize which is to #SaveProdigalSon #SliceNDice and @netflix @hulu @PrimeVideo @paramountplus are the national juries deciding our fate.",ProdigalEurope,2021-05-21 17:08:32+00:00
1395775306326106113,"#eurovison was in Sweeden where Netherland wins with the song Ding a Dong but my winner is Slovenia with the song Pepel in Kri, unfortunately, Slovenia was then part of communist Yugoslavia so West did not like give points",zoranhorus,2021-05-21 16:15:39+00:00
1395753655505149952,@NikkieTutorials wat is het een verademing om jou te zien op het grootste podium Je doet het zo ontzettend goed. En het interview met onze koningin en de kids  G E W E L D I G! Verheug me op zaterdag succes  Nikkie #Queen of the #Eurovison,Tuude,2021-05-21 14:49:37+00:00
1395727456812818437,"New Album : El Diablo – Elena Tsagrinou #Cyprus #Greece #BRANDNEWMUSIC #Eurovision #Eurovision2021 #EurovisionSongContest2021 #eurovisiesongfestival #eurovison #Eurovisiongr #OpenUp @ElenaTsagrinou @EurovisionCY @EurovisionGR #Greek #greeknews #NewMusic 

https://t.co/UffQZbY9l3 https://t.co/vjJX1LdQTc",PCorMobile,2021-05-21 13:05:31+00:00
1395723322151813126,You know it 's #Eurovison eve when I've had Say Yay &amp; La Venda on repeat all morning dancing around my apartment #JusticeForBarei https://t.co/IbkQLzCWXN,JordMuckley,2021-05-21 12:49:05+00:00
1395715052200767494,"nah, ook toevallig, dat nederland morgenavond aantreedt op de plek waarop we vermoedelijk ook gaan eindigen #eurovison #songfestival",C1nd1e,2021-05-21 12:16:14+00:00
1395695024118063104,My two moods #eurovison #12stig,AndersenDisa,2021-05-21 10:56:39+00:00
